id,pair,sex,l_fem,r_fem,l_tib,r_tib,tot_abdo,thorax,eggs,mated,avgfem,avgtib,lnthor,lnab,lnfem,lntib
1,1,f,3.766,3.781,3.144,3.147,6.893,2.926,8,1,3.7735,3.1455,1.07363630259793,1.93050640390351,1.32800295274279,1.14597286002795
3,2,f,3.832,3.809,3.265,3.265,7.159,2.873,13,1,3.8205,3.265,1.05535677999715,1.96837030641405,1.34038130410548,1.18325976272839
5, ,f,3.714,3.806,3.086,3.18,7.635,2.896,12,0,3.76,3.133,1.06333047452347,2.0327429386706,1.3244189574018,1.14199101197005
6, ,f,3.636,3.63,2.987,3.051,6.68,2.688,4,0,3.633,3.019,.988797422660903,1.89911798754855,1.29005875323906,1.1049256507247
7,3,f,3.767,3.71,3.22,3.248,6.684,2.983,20,1,3.7385,3.234,1.09292950553261,1.89971661073315,1.31868446145783,1.17371976115492
9,4,f,3.804,3.889,3.07,3.177,6.747,3.04,4,1,3.8465,3.1235,1.11185751541813,1.90909796164529,1.34716364391685,1.13895416795149
11,5,f,3.513,3.544,3.019,2.938,6.652,2.845,13,1,3.5285,2.9785,1.04556306757829,1.89491756133068,1.26087285145875,1.09141981808661
14,6,f,3.626,3.627,3.145,2.982,6.742,2.979,12,1,3.6265,3.0635,1.09158767373115,1.90835661681187,1.28826799582133,1.11955805318357
15,7,f,3.717,3.8,3.141,3.096,6.887,2.847,11,1,3.7585,3.1185,1.0462658082959,1.92963557656256,1.32401994163539,1.13735211698404
17,8,f,3.668,3.618,3.116,3.175,7.291,2.682,13,1,3.643,3.1455,.986562784859487,1.98664071082429,1.29280751802643,1.14597286002795
21,9,f,3.847,3.847,3.29,3.206,6.897,2.867,20,1,3.847,3.248,1.05326618690123,1.93108653444915,1.34729362377016,1.17803942229943
25, ,f,3.829,3.863,3.182,3.26,6.822,2.916,25,0,3.846,3.221,1.07021281414641,1.92015268399645,1.34703364716659,1.16969187034906
28, ,f,3.794,3.922,3.424,3.381,7.258,3.002,23,0,3.858,3.4025,1.09927873321127,1.98210430879088,1.35014891448354,1.22451045554348
30,10,f,3.265, ,2.791,2.946,6.092,2.646,1,1,3.265,2.8685,.973049065692764,1.80697643503292,1.18325976272839,1.05378924505979
33, ,f,4.085,4.152,3.327,3.372,7.37,3.269,26,0,4.1185,3.3495,1.18448412774207,1.99741770620125,1.41548901939917,1.20881108096619
36, ,f,3.614,3.622,3.125,3.06,6.459,3.062,17,0,3.618,3.0925,1.11906829723549,1.86547450705034,1.2859213869731,1.12897982528451
37,11,f,4.106,4.324,3.264,3.563,8.124,3.197,26,1,4.215,3.4135,1.1622128700777,2.09482264371814,1.43864959145382,1.2277381578762
40,12,f,3.823,3.756,3.123,2.964,6.596,2.955,29,1,3.7895,3.0435,1.08349865085806,1.88646340469735,1.33223408426995,1.11300816895184
41,13,f,3.931,3.978,3.209,3.271,7.035,3.182,45,1,3.9545,3.24,1.1575099299156,1.95089769056635,1.37485417097734,1.17557332980424
44,14,f,3.443,3.507,3.128,3.004,6.597,2.745,28,1,3.475,3.066,1.00978107496149,1.88661500024073,1.24559447901676,1.12037378044962
45,15,f,3.729, ,3.323,3.386,7.215,3.116,37,1,3.729,3.3545,1.1365501280085,1.97616219222583,1.31614010119668,1.21030272802081
47, ,f,3.778,3.763,3.121,3.175,7.645,3.168, ,0,3.7705,3.148,1.15310047395218,2.03405183938103,1.32720761866056,1.14676733055516
48, ,f,3.872, ,3.37, ,7.399,3.1,27,0,3.872,3.37,1.1314021114911,2.00134485594341,1.35377116941433,1.21491274436427
50, ,f,4.047,4.024,3.297,3.273,7.206,3.194,28,0,4.0355,3.285,1.16127404979282,1.9749140123259,1.39513020978229,1.18936665193657
51, ,f,3.807,3.745,3.203,3.262,7.242,2.812,30,0,3.776,3.2325,1.03389597394842,1.97989741134345,1.32866524828325,1.17325583166388
53,16,f,3.718,3.769,3.117,3.077,6.896,2.982,2,1,3.7435,3.097,1.09259421634255,1.93094153336139,1.3200210026886,1.13043390099107
57, ,f,3.625,3.614,2.953,3.023,6.79,2.613,32,0,3.6195,2.988,.960498986538475,1.9154509415706,1.28633589475106,1.09460426727057
59,17,f,3.75,3.797,3.163,3.192,6.774,2.892,28,1,3.7735,3.1775,1.06194830429652,1.91309175439558,1.32800295274279,1.15609472408147
60, ,f,4.042,4.052,3.518,3.597,7.852,3.062,21,0,4.047,3.5575,1.11906829723549,2.06076827641421,1.39797586589373,1.26905805098187
61, ,f,3.813,3.814,3.25,3.162,6.84,2.815,16,0,3.8135,3.206,1.03496226159165,1.92278773163446,1.33854740262216,1.16502405418736
65, ,f,3.746,3.763,3.223,3.196,6.046,2.946,17,0,3.7545,3.2095,1.08044831804044,1.79939689635727,1.3229551205578,1.1661151617697
66, ,f,3.978,3.948,3.249,3.243,7.204,3.127,41,0,3.963,3.246,1.1400740784757,1.97463642731371,1.3770013142083,1.1774234690924
67, ,f,3.632,3.637,3.072,2.977,6.679,2.793,24,0,3.6345,3.0245,1.02711628696304,1.8989682757435,1.29047154994255,1.10674578856483
71, ,f,3.93,3.992,3.305,3.322,7.092,2.922,12,0,3.961,3.3135,1.07226831332851,1.95896738821196,1.37649651863978,1.19800503254614
74, ,f,3.969,3.969,3.334,3.414,7.219,3.018,46,0,3.969,3.374,1.10459436034566,1.97671643915702,1.37851417380093,1.21609898412378
76,18,f,3.952,3.913,3.348,3.382,6.933,3.069,6,1,3.9325,3.365,1.1213517756376,1.93629261996035,1.3692753559503,1.21342796309669
78,19,f,3.841,3.887,3.294,3.285,7.462,2.841, ,1,3.864,3.2895,1.04415610287205,2.00982347479897,1.35170291635027,1.19073557754392
79, ,f,3.942,3.938,3.297,3.293,7.003,2.974,41,0,3.94,3.295,1.08990784803796,1.94633862867338,1.37118072330984,1.19240616795447
80, ,f,3.867,3.85,3.283,3.298,7.022,3.196,34,0,3.8585,3.2905,1.16190002790403,1.94904807774624,1.35027850691552,1.19103952891404
83, ,f,3.517,3.572,3.064,3.006,6.581,2.862,5,0,3.5445,3.035,1.05152068113426,1.88418670947398,1.26539710631294,1.11021142451146
85, ,f,3.326,3.353,2.785, ,6.139,2.701,1,0,3.3395,2.785,.993622074810479,1.81466186244536,1.20582109518355,1.02424787337925
87,20,f,3.968,3.9,3.389,3.36,7.173,3.109,12,1,3.934,3.3745,1.13430113107662,1.9703239771443,1.36965671996687,1.21624716520132
90, ,f,3.801,3.804,3.01,3.072,6.786,2.867,6,0,3.8025,3.041,1.05326618690123,1.91486166636204,1.33565874515131,1.11218640869523
91, ,f,3.762,3.694,3.066,3.065,6.865,2.838,22,0,3.728,3.0655,1.04309957873785,1.92643603921993,1.31587189682334,1.12021068822061
92, ,f,3.543,3.509,3.024,3.071,6.411,2.85,14,0,3.526,3.0475,1.04731899428056,1.85801526500512,1.26016408397568,1.11432158237329
94, ,f,4.024,4.043,3.38,3.412,7.586,3.443,16,0,4.0335,3.396,1.23634318435639,2.02630444326671,1.39463448539489,1.2225982684491
95, ,f,3.835,3.897,3.181,3.218,6.86,2.82,17,0,3.866,3.1995,1.03673688495002,1.92570744173779,1.35222038078614,1.16299454759738
98, ,f,3.952,4.044,3.471,3.488,7.651,3.236,20,0,3.998,3.4795,1.17433799919625,2.03483635824971,1.38579423607821,1.24688860530277
101, ,f,4.038,3.996,3.349,3.521,7.121,3.187,29,0,4.017,3.435,1.1590800354352,1.96304816499999,1.39053535537715,1.23401692567431
102, ,f,3.348,3.416,2.983,2.95,6.265,2.679,18,0,3.382,2.9665,.985443590562472,1.83497858834803,1.21846725047639,1.08738280671656
103, ,f,3.817,3.821,3.273,3.308,6.487,3.083,24,0,3.819,3.2905,1.12590314890401,1.86980017423092,1.33998860824338,1.19103952891404
106, ,f,3.753, ,3.323,3.309,6.669,3.085,14,0,3.753,3.316,1.12655165735735,1.89746992365017,1.32255552015288,1.19875923727305
110, ,f,4.02,4.058,3.423,3.457,7.127,3.248,8,0,4.039,3.44,1.17803942229943,1.96389038851973,1.39599713658128,1.23547147138531
111, ,f,3.909,3.845,3.377,3.355,6.63,3.203,17,0,3.877,3.366,1.16408787062702,1.89160480419777,1.35506165868879,1.21372509576861
112, ,f,3.907,3.843,3.149,3.179,7.202,3.298,34,0,3.875,3.164,1.19331622413741,1.97435876522668,1.35454566280531,1.15183704990541
115,21,f,3.905,3.939,3.345,3.397,7.237,3.103,10,1,3.922,3.371,1.13236938546624,1.97920675588399,1.36660172777415,1.21520943625192
117,22,f,3.831,3.742,3.289,3.213,6.892,2.969, ,1,3.7865,3.251,1.08822519578162,1.93036131866568,1.33144210957174,1.17896264132177
119,23,f,3.678, ,3.111,3.121,6.576,3.195,28,1,3.678,3.116,1.1615870878295,1.88342665775388,1.30236912618213,1.1365501280085
120, ,f,3.882,3.9,3.202,3.266,6.783,3.05,3,0,3.891,3.234,1.11514159061932,1.91441948196394,1.35866619400242,1.17371976115492
121, ,f,4.054,4.049,3.624,3.592,7.281,3.168, ,0,4.0515,3.608,1.15310047395218,1.98526821541257,1.39908718291864,1.28315360220038
122, ,f,3.614, ,3.009,3.013,6.52,2.696, ,0,3.614,3.011,.991769193050061,1.87487437593856,1.28481519217004,1.1022722494996
123, ,f,3.681,3.59,3.207,3.106,6.553,2.977,26,0,3.6355,3.1565,1.09091608203364,1.87992296005736,1.29074665310797,1.14946381882554
124, ,f,4.099,4.163,3.397,3.432,7.88,3.325,32,0,4.131,3.4145,1.20146967410782,2.06432790386979,1.41851950841463,1.22803106941901
127,24,f,3.91, ,3.457,3.389,7.43,2.854,37,1,3.91,3.423,1.04872151905464,2.00552585872967,1.36353737399727,1.23051735954805
128, ,f,3.393, ,2.937,2.997,6.164,2.724,2,0,3.393,2.967,1.00210138828727,1.81872591745787,1.22171448580209,1.08755134130868
129, ,f,3.886,3.86,3.226,3.207,7.084,2.941,15,0,3.873,3.2165,1.07874965957186,1.95783871992059,1.35402940053262,1.16829381186892
133, ,f,3.958,3.923,3.397, ,6.499,3.163,12,0,3.9405,3.397,1.15152094432351,1.87164831891221,1.37130761881157,1.22289268917845
139, ,f,3.802,3.862,3.262,3.334,6.912,3.152,22,0,3.832,3.298,1.14803717199563,1.93325903150175,1.34338686010861,1.19331622413741
140, ,f,3.814,3.814,3.136,3.151,6.684,3.057,10,0,3.814,3.1435,1.1174340429087,1.89971661073315,1.33867850717823,1.14533682884098
147, ,f,3.512,3.512,3.006,3.014,6.011,2.708,10,0,3.512,3.01,.996210355050029,1.79359112405703,1.25618567577287,1.10194007876078
150, ,f,3.623,3.671,3.19,3.138,6.532,2.774,7,0,3.647,3.164,1.02029032189264,1.87671317510822,1.29390491182654,1.15183704990541
154, ,f,3.608, ,3.148, ,6.298,2.902,27,0,3.608,3.148,1.065400154462,1.84023212267883,1.28315360220038,1.14676733055516
157, ,f,3.911, ,3.322,3.335,7.166,2.81,7,0,3.911,3.3285,1.03318448334565,1.96934761888276,1.36379309577338,1.20252175205862
160, ,f,4.34,4.307,3.739,3.745,7.514,3.567, ,0,4.3235,3.742,1.27172490637675,2.01676794715178,1.46406525941835,1.3196202278519
163, ,f,4.252, ,3.774,3.73,7.948,3.396, ,0,4.252,3.752,1.2225982684491,2.07292032468957,1.4473894604797,1.32228903114398
165,25,f,4.114, ,3.361,3.45,7.174,3.107,10,1,4.114,3.4055,1.13365763041091,1.97046337911009,1.41439579123077,1.22539177169924
2,1,m,3.781,3.795,3.24,3.241,6.637,2.985, ,1,3.788,3.2405,1.09359974684457,1.89266005416379,1.33183817532383,1.17572763888563
4,2,m,3.222,3.252,2.867,2.895,6.189,2.528, ,1,3.237,2.881,.927428476284611,1.82277352275722,1.17464697494411,1.05813745610239
8,3,m,3.418,3.431,2.948,3.023,5.705,2.668, ,1,3.4245,2.9855,.981329128053377,1.74134298331404,1.23095547565582,1.09376723700491
10,4,m,3.362,3.453,2.904,2.859,5.846,2.74, ,1,3.4075,2.8815,1.00795792039998,1.76575766668905,1.22597888458855,1.05831099189458
12,5,m,3.545,3.52,2.959,3.003,6.052,2.981, ,1,3.5325,2.981,1.09225881469593,1.80038879592611,1.26200583557655,1.09225881469593
13,6,m,3.747,3.627,3.038,3.055,6.264,2.907, ,1,3.687,3.0465,1.06712162157674,1.8348189586885,1.30481311925201,1.11399339070641
